,sep,sep2,dT,peak,mult,bl1,bl2
941, 0_116, 0_116, 0.0, 12127.9726, 2304, 116.8, 116.8
992, 50_260, 50_260, 0.0, 12127.9726, 225, 204.573735688, 204.573735688
942, 22_137, 22_137, 0.0, 12127.9726, 4, 223.496070062, 223.496070062
943, 10_76, 10_76, 0.0, 12127.9726, 729, 60.7846471844, 60.7846471844
993, 8_176, 8_176, 0.0, 12127.9726, 36, 226.339243909, 226.339243909
944, 1_92, 1_92, 0.0, 12127.9726, 5625, 130.858142022, 130.858142022
994, 8_61, 8_61, 0.0, 12127.9726, 576, 51.2735149306, 51.2735149306
945, 94_155, 94_155, 0.0, 12127.9726, 676, 226.809641182, 226.809641182
995, 8_65, 8_65, 0.0, 12127.9726, 225, 165.824123697, 165.824123697
946, 81_260, 81_260, 0.0, 12127.9726, 100, 199.295793567, 199.295793567
996, 3_226, 3_226, 0.0, 12127.9726, 784, 176.009242182, 176.009242182
947, 7_109, 7_109, 0.0, 12127.9726, 961, 85.5481930454, 85.5481930454
997, 65_206, 65_206, 0.0, 12127.9726, 324, 160.821059981, 160.821059981
948, 0_115, 0_115, 0.0, 12127.9726, 1156, 221.098831596, 221.098831596
998, 12_22, 12_22, 0.0, 12127.9726, 2025, 153.357925564, 153.357925564
949, 0_114, 0_114, 0.0, 12127.9726, 1849, 207.676126055, 207.676126055
999, 4_146, 4_146, 0.0, 12127.9726, 1369, 118.010395022, 118.010395022
950, 0_117, 0_117, 0.0, 12127.9726, 3025, 110.227582755, 110.227582755
951, 0_111, 0_111, 0.0, 12127.9726, 4096, 168.586278603, 168.586278603
952, 36_260, 36_260, 0.0, 12127.9726, 225, 208.700007986, 208.700007986
953, 0_110, 0_110, 0.0, 12127.9726, 4761, 156.113078675, 156.113078675
954, 0_113, 0_113, 0.0, 12127.9726, 2601, 194.42318106, 194.42318106
955, 0_112, 0_112, 0.0, 12127.9726, 3364, 181.377212828, 181.377212828
956, 0_119, 0_119, 0.0, 12127.9726, 3969, 102.2, 102.2
957, 0_118, 0_118, 0.0, 12127.9726, 3600, 105.282097244, 105.282097244
958, 10_306, 10_306, 0.0, 12127.9726, 1, 223.496070062, 223.496070062
959, 10_308, 10_308, 0.0, 12127.9726, 1, 284.731194872, 284.731194872
