,sep,sep2,dT,peak,mult,bl1,bl2
543, 4_14, 0_10, -0.00600000098348, 5005.91012818, 432, 44.6037367642, 38.6279691415
469, 14_69, 14_68, -0.0210000034422, 1637.36155179, 1517, 73.0, 66.9056051464
674, 24_88, 14_69, -0.0200000032783, 1545.59065981, 1110, 81.2893596973, 73.0
214, 24_71, 14_41, -0.0100000016391, 5722.8201077, 690, 52.6410486218, 51.2735149305
544, 34_41, 24_31, 0.012000001967, 7631.29075757, 280, 102.2, 102.547029861
470, 1_7, 16_24, 0.00500000081956, 4906.15068251, 516, 25.2879417905, 22.3018683821
675, 26_70, 3_34, -0.00300000049174, 4846.89568094, 360, 77.2559382831, 85.5481930454
215, 0_45, 24_83, 0.0080000013113, 5417.46060178, 735, 73.48505517, 66.9056051464
216, 24_107, 24_107, 0.0, 12127.9726, 324, 95.7386024548, 95.7386024548
217, 1_31, 1_31, 0.0, 12127.9726, 81, 80.4105299904, 80.4105299904
218, 0_104, 0_104, 0.0, 12127.9726, 324, 132.477067198, 132.477067198
219, 0_37, 0_37, 0.0, 12127.9726, 324, 59.0051975112, 59.0051975112
545, 0_21, 7_29, -0.0100000016391, 5705.13960668, 370, 77.2559382831, 72.0200897898
471, 0_21, 15_29, 0.011000001803, 6642.21248913, 370, 77.2559382831, 74.9213810159
676, 0_2, 0_18, 0.0, 275.525224078, 6230, 29.2, 38.6279691415
750, 14_53, 0_34, -0.011000001803, 5972.80118046, 252, 60.7846471844, 59.0051975112
546, 28_57, 14_27, 0.0, 4759.56388665, 442, 88.8083329424, 80.4105299904
472, 1_7, 14_21, 0.0, 4759.56388665, 516, 25.2879417905, 33.7172557207
677, 24_88, 0_51, 0.00500000081956, 5041.75541639, 360, 81.2893596973, 89.2074735285
751, 14_50, 2_45, 0.0080000013113, 5960.92972747, 255, 83.0191142649, 89.2074735285
547, 5_22, 0_10, 0.0200000032783, 367.413811437, 360, 30.3923235922, 38.6279691415
473, 22_56, 3_31, 0.0100000016391, 5661.45605761, 432, 52.6410486218, 55.2747078991
678, 25_83, 24_83, 0.0210000034422, 1633.2100708, 1050, 73.0, 66.9056051464
752, 0_8, 6_14, 0.00300000049174, 4815.13923637, 315, 14.6, 16.8586278603
548, 28_70, 14_48, 0.0100000016391, 6842.75807357, 306, 101.151767162, 105.619000816
474, 3_22, 0_19, -0.00900000147521, 5374.53752913, 456, 55.2747078991, 50.575883581
679, 24_52, 24_41, 0.0210000034422, 2444.07274605, 700, 91.1769707766, 95.7386024548
753, 26_104, 14_77, -0.012000001967, 7252.22015593, 210, 95.7386024548, 94.9935436403
549, 0_9, 5_14, 0.00500000081956, 4898.52383839, 440, 25.2879417905, 30.3923235922
475, 0_5, 26_42, -0.00500000081956, 5004.22929535, 506, 73.0, 80.4105299904
680, 5_14, 0_10, 0.0, 4749.94284722, 360, 30.3923235922, 38.6279691415
754, 1_34, 14_51, -0.00600000098348, 5067.03702576, 306, 65.8350463912, 73.48505517
550, 0_53, 70_80, 0.152000024915, 4.02888270034, 12, 110.549415798, 146.0
476, 26_57, 25_70, 0.0190000031143, 1688.26264423, 1440, 63.6399245757, 66.9056051464
681, 24_76, 22_69, -0.0190000031143, 1197.85896674, 1428, 77.2559382831, 66.9056051464
755, 25_94, 14_78, 0.00400000065565, 5338.28039366, 288, 81.2893596973, 89.2074735285
551, 26_70, 27_57, -0.0210000034422, 2111.5130211, 990, 77.2559382831, 75.8638253715
477, 14_39, 26_70, -0.00300000049174, 4847.50851075, 510, 68.9969081433, 77.2559382831
682, 1_57, 14_76, -0.00600000098348, 5301.08294827, 255, 94.9935436403, 102.547029861
756, 25_104, 14_78, -0.012000001967, 6977.77474058, 216, 91.1769707766, 89.2074735285
552, 24_76, 7_44, 0.0210000034422, 5.8243725447, 102, 77.2559382831, 135.65696935
478, 0_15, 16_24, -0.00300000049174, 5222.34781468, 468, 29.2, 22.3018683821
683, 0_2, 30_42, -0.00300000049174, 4798.79252112, 356, 29.2, 22.3018683821
757, 0_105, 0_104, -0.0210000034422, 4146.52890355, 360, 130.858142022, 132.477067198
553, 2_7, 14_21, 0.00700000114739, 5023.6489493, 420, 38.6279691415, 33.7172557207
479, 6_15, 14_25, 0.011000001803, 7513.483555, 323, 105.282097244, 107.618276019
684, 0_62, 24_107, -0.00400000065565, 5433.78240697, 324, 88.0046210908, 95.7386024548
554, 24_77, 24_64, 0.0210000034422, 2561.47030011, 812, 88.8083329424, 88.8083329424
480, 2_22, 0_12, 0.0100000016391, 6421.38272684, 376, 68.9969081433, 66.9056051464
758, 14_68, 14_81, -0.0140000022948, 1195.27901114, 1271, 66.9056051464, 77.2559382831
685, 0_1, 6_14, -0.00300000049174, 5225.53538137, 324, 14.6, 16.8586278603
555, 24_114, 0_86, -0.012000001967, 7085.62510514, 294, 102.2, 105.619000816
481, 25_94, 14_64, -0.012000001967, 6748.13879562, 360, 81.2893596973, 80.4105299904
