f4H1 -> p4r6c6 -> r6B6Y -> sD9Y  -> a40Y 
f4H2 -> p4r5c6 -> r6B6X -> sD9X  -> a40X 
f4H3 -> p4r4c6 -> r6A6Y -> sE15Y -> a38Y 
f4H4 -> p4r3c6 -> r6A6X -> sE15X -> a38X 
f5A1 -> p4r6c1 -> r6B1Y -> sB7Y  -> a4Y  
f5A2 -> p4r5c1 -> r6B1X -> sB7X  -> a4X  
f5A3 -> p4r4c1 -> r6A1Y -> sX10Y -> a122Y
f5A4 -> p4r3c1 -> r6A1X -> sX10X -> a122X
f5B1 -> p4r2c1 -> r5B1Y -> sB4Y  -> a67Y 
f5B2 -> p4r1c1 -> r5B1X -> sB4X  -> a67X 
f5B3 -> p4r6c2 -> r6B2Y -> sC9Y  -> a5Y  
f5B4 -> p4r5c2 -> r6B2X -> sC9X  -> a5X  
f5C1 -> p4r4c2 -> r6A2Y -> sA9Y  -> a24Y 
f5C2 -> p4r3c2 -> r6A2X -> sA9X  -> a24X 
f5C3 -> p4r2c2 -> r5B2Y -> sG14Y -> a111Y
f5C4 -> p4r1c2 -> r5B2X -> sG14X -> a111X
f5D1 -> p4r4c3 -> r6A3Y -> sA7Y  -> a48Y 
f5D2 -> p4r3c3 -> r6A3X -> sA7X  -> a48X 
f5D3 -> p4r2c3 -> r5B3Y -> sB12Y -> a70Y 
f5D4 -> p4r1c3 -> r5B3X -> sB12X -> a70X 
f5E1 -> p3r6c5 -> r5A5Y -> sC14Y -> a79Y 
f5E2 -> p3r5c5 -> r5A5X -> sC14X -> a79X 
f5E3 -> p3r2c6 -> r4A6Y -> sF10Y -> a101Y
f5E4 -> p3r1c6 -> r4A6X -> sF10X -> a101X
f5F1 -> p3r4c7 -> r4B7Y -> sD4Y  -> a82Y 
f5F2 -> p3r3c7 -> r4B7X -> sD4X  -> a82X 
f5F3 -> p3r2c7 -> r4A7Y -> sE4Y  -> a90Y 
f5F4 -> p3r1c7 -> r4A7X -> sE4X  -> a90X 
f5G1 -> p3r6c8 -> r5A8Y -> sB10Y -> a69Y 
f5G2 -> p3r5c8 -> r5A8X -> sB10X -> a69X 
f5G3 -> p3r4c8 -> r4B8Y -> sF6Y  -> a99Y 
f5G4 -> p3r3c8 -> r4B8X -> sF6X  -> a99X 
f5H1 -> p3r6c7 -> r5A7Y -> sG12Y -> a110Y
f5H2 -> p3r5c7 -> r5A7X -> sG12X -> a110X
f5H3 -> p3r2c8 -> r4A8Y -> sD6Y  -> a83Y 
f5H4 -> p3r1c8 -> r4A8X -> sD6X  -> a83X 
f6A1 -> p3r6c4 -> r5A4Y -> sB14Y -> a71Y 
f6A2 -> p3r5c4 -> r5A4X -> sB14X -> a71X 
f6A3 -> p3r4c4 -> r4B4Y -> sC4Y  -> a74Y 
f6A4 -> p3r3c4 -> r4B4X -> sC4X  -> a74X 
